scan_id,map_name,primary_state,date_on_map,map_scale,grid_size,geotiff_url,metadata_url,westbc,eastbc,northbc,southbc,product_filesize
171948,Hazleton,Pennsylvania,1976,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hazleton_171948_1976_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hazleton_171948_1976_24000_geo.xml,-76.00000000,-75.87500000,41.00000000,40.87500000,22836120
171951,Hellertown,Pennsylvania,1965,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hellertown_171951_1965_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hellertown_171951_1965_24000_geo.xml,-75.37500000,-75.25000000,40.62500000,40.50000000,12067997
461766,Hershey,Pennsylvania,1977,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hershey_461766_1977_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hershey_461766_1977_24000_geo.xml,-76.75000000,-76.62500000,40.37500000,40.25000000,17412376
222862,Hickory Run,Pennsylvania,1992,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hickory%20Run_222862_1992_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hickory_Run_222862_1992_24000_geo.xml,-75.75000000,-75.62500000,41.12500000,41.00000000,10067593
171826,Hilliards,Pennsylvania,1963,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hilliards_171826_1963_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hilliards_171826_1963_24000_geo.xml,-79.87500000,-79.75000000,41.12500000,41.00000000,11334412
171827,Hillsgrove,Pennsylvania,1970,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hillsgrove_171827_1970_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hillsgrove_171827_1970_24000_geo.xml,-76.75000000,-76.62500000,41.50000000,41.37500000,12051215
171829,Holbrook,Pennsylvania,1964,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Holbrook_171829_1964_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Holbrook_171829_1964_24000_geo.xml,-80.37500000,-80.25000000,39.87500000,39.75000000,15341800
171837,Hollidaysburg,Pennsylvania,1963,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hollidaysburg_171837_1963_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hollidaysburg_171837_1963_24000_geo.xml,-78.50000000,-78.37500000,40.50000000,40.37500000,13137965
222870,Holtwood,Pennsylvania,1955,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Holtwood_222870_1955_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Holtwood_222870_1955_24000_geo.xml,-76.37500000,-76.25000000,39.87500000,39.75000000,13557712
171848,Honesdale,Pennsylvania,1949,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Honesdale_171848_1949_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Honesdale_171848_1949_24000_geo.xml,-75.37500000,-75.25000000,41.62500000,41.50000000,10412703
171853,Honey Brook,Pennsylvania,1955,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Honey%20Brook_171853_1955_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Honey_Brook_171853_1955_24000_geo.xml,-76.00000000,-75.87500000,40.12500000,40.00000000,9356969
171865,Hookstown,Pennsylvania,1954,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hookstown_171865_1954_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hookstown_171865_1954_24000_geo.xml,-80.50000000,-80.37500000,40.62500000,40.50000000,12531268
